ID,EMAIL,GPN,NOME,SALARIO_BASE_FY_ATUAL,EMPLOYEE_STATUS,PAIS,GENDER,LOCATION_CITY,SERVICE_LINE,SUB_SL,RANK_ATUAL,EXP_LEV_ATUAL,JOB_TITLE,HIRING_DATE,PROPORCIONAL_HIRING_DATE,LAST_PROMOTION_DATE,UTILIZAÇAO,PROMOÇAO,LEAD_ATUAL,RANK_FUTURO,EXP_LEVEL_FUTURO,ACTUAL,SMUS_ID,JOBS_ID,LEVEL
1,BR110101010@ey.com.br,BR110101010,Eric Messina,1000,Active,Brasil,M,São Paulo,Advisory,PI,44-Staff/Assistant,1,Analista Senior,7/1/2018 0:00,1,NULL,0.749536,Progression,nan,44-Staff/Assistant,1,0,6,1,1
2,BR377885127@ey.com.br,BR377885127,Richard Sonnenberg,1000,Active,Brasil,M,Curitiba,Advisory,PI,44-Staff/Assistant,1,Analista Senior,7/1/2018 0:00,1,12/13/2020 0:00,0.749536,Progression,nan,44-Staff/Assistant,1,0,6,1,0
3,BR1252646990@ey.com.br,BR1252646990,Gerald Lusby,1000,Active,Brasil,M,Campinas,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,4/1/2018 0:00,1,4/26/2021 0:00,0.165303,Progression,nan,44-Staff/Assistant,1,0,8,1,0
4,BR1388541610@ey.com.br,BR1388541610,Luther Allison,1000,Active,Brasil,M,Brasilia - Ass,Advisory,Risk,32-Manager,2,Gerente,10/1/2016 0:00,1,12/1/2020 0:00,0.805516,Progression,Differentiating,32-Manager,2,0,9,2,0
5,BR1147827550@ey.com.br,BR1147827550,Norris Whitaker,1000,Active,Brasil,M,Salvador,Advisory,PI,21-Senior Manager,9,Gerente Senior,10/1/2014 0:00,1,8/16/2020 0:00,0.38588,Progression,Progressing,21-Senior Manager,10,0,1,3,0
6,BR1186575320@ey.com.br,BR1186575320,Roberta Phillips,1000,Active,Brasil,M,Campinas,Advisory,PI,32-Manager,2,Gerente,9/1/2019 0:00,0.833333,12/8/2020 0:00,0.501156,Promotion,Strategic Impact,21-Senior Manager,1,0,1,2,0
7,BR1163717990@ey.com.br,BR1163717990,Fern Hayward,1000,Active,Brasil,M,Campinas,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,5/1/2014 0:00,1,8/8/2020 0:00,0.674763,Progression,nan,44-Staff/Assistant,1,0,8,1,0
8,BR1126257290@ey.com.br,BR1126257290,Gordon Williams,1000,Active,Brasil,M,Rio de Janeiro,Advisory,PI,42-Senior,4,Especialista,5/1/2020 0:00,0.166667,3/18/2020 0:00,0.163345,Progression,Differentiating,42-Senior,4,0,10,4,0
9,BR1318917170@ey.com.br,BR1318917170,Donna Desantiago,1000,Active,Brasil,M,Porto Alegre,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,12/1/2016 0:00,1,3/6/2020 0:00,0.549595,Promotion,Differentiating,42-Senior,3,0,3,1,0
10,BR1025935650@ey.com.br,BR1025935650,Sophia Sutton,1000,Active,Brasil,M,Campinas,Advisory,PI,44-Staff/Assistant,1,Analista Senior,1/1/2020 0:00,0.5,3/17/2021 0:00,0.460902,Progression,nan,44-Staff/Assistant,1,0,6,1,0
11,BR574767850@ey.com.br,BR574767850,Lavina Lopez,1000,Active,Brasil,M,Brasilia - Audit,Advisory,PI,44-Staff/Assistant,3,Analista Senior,3/1/2020 0:00,0.333333,4/23/2021 0:00,0.338685,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
12,BR798599390@ey.com.br,BR798599390,Mark Speer,1000,Active,Brasil,M,Brasilia - Audit,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,10/1/2017 0:00,1,1/12/2021 0:00,0.571266,Promotion,Differentiating,44-Staff/Assistant,2,0,5,1,0
13,BR716744810@ey.com.br,BR716744810,Robert Mitchell,1000,Active,Brasil,M,São Paulo,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,8/1/2014 0:00,1,3/26/2021 0:00,0.589272,Promotion,Progressing,44-Staff/Assistant,2,0,8,1,0
14,BR1217121580@ey.com.br,BR1217121580,Hattie Perez,1000,Active,Brasil,M,Campinas,Advisory,PI,44-Staff/Assistant,3,Analista Senior,4/1/2017 0:00,1,5/26/2020 0:00,0.314052,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
15,BR1065979690@ey.com.br,BR1065979690,Howard Herrera,1000,Active,Brasil,M,Campinas,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,8/1/2018 0:00,1,2/9/2021 0:00,0.325195,Progression,Progressing,44-Staff/Assistant,2,0,5,1,0
16,BR374548380@ey.com.br,BR374548380,Joe Grissom,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,3,Analista Senior,4/1/2015 0:00,1,10/21/2020 0:00,0.719691,Progression,Progressing,44-Staff/Assistant,3,0,9,1,0
17,BR1464241870@ey.com.br,BR1464241870,Jeannette Hackett,1000,Active,Brasil,M,Recife,Advisory,PI,44-Staff/Assistant,3,Analista Senior,10/1/2019 0:00,0.75,9/22/2020 0:00,0.715965,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
18,BR329844960@ey.com.br,BR329844960,Eunice Crockett,1000,Active,Brasil,M,Porto Alegre,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,12/1/2018 0:00,1,11/5/2020 0:00,0.547233,Promotion,Progressing,44-Staff/Assistant,2,0,5,1,0
19,BR1067597940@ey.com.br,BR1067597940,Sammie Puckett,1000,Active,Brasil,M,Porto Alegre,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,2/1/2020 0:00,0.416667,5/6/2020 0:00,0.8317,Progression,nan,44-Staff/Assistant,1,0,5,1,0
20,BR915356280@ey.com.br,BR915356280,Cyril Counts,1000,Active,Brasil,M,São Paulo,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,12/1/2018 0:00,1,1/28/2021 0:00,0.777858,Progression,nan,44-Staff/Assistant,1,0,9,1,0
21,BR536541120@ey.com.br,BR536541120,Keri Southall,1000,Active,Brasil,M,Recife,Advisory,Risk,44-Staff/Assistant,2,Analista Senior,7/1/2015 0:00,1,9/13/2020 0:00,0.287587,Promotion,Progressing,44-Staff/Assistant,2,0,9,1,0
22,BR1171819450@ey.com.br,BR1171819450,Allan Osborne,1000,Active,Brasil,M,Fortaleza,Advisory,Risk,21-Senior Manager,2,Gerente Senior,12/1/2014 0:00,1,8/13/2020 0:00,0.623166,Progression,Progressing,21-Senior Manager,2,0,9,3,0
23,BR925176210@ey.com.br,BR925176210,Charles Herrmann,1000,Active,Brasil,M,Campinas,Advisory,PI,42-Senior,1,Especialista,1/1/2018 0:00,1,2/26/2021 0:00,0.827336,Promotion,Differentiating,32-Manager,1,0,10,4,0
24,BR863265890@ey.com.br,BR863265890,Juan Sutton,1000,Active,Brasil,M,Rio de Janeiro,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,2/1/2018 0:00,1,10/20/2020 0:00,0.299817,Progression,nan,44-Staff/Assistant,1,0,9,1,0
25,BR1225194570@ey.com.br,BR1225194570,Lindsay Bass,1000,Active,Brasil,M,Curitiba,Advisory,PI,44-Staff/Assistant,3,Analista Senior,10/1/2014 0:00,1,5/31/2020 0:00,0.507609,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
26,BR1696317940@ey.com.br,BR1696317940,Rebecca Reilly,1000,Active,Brasil,M,Salvador,Advisory,PI,44-Staff/Assistant,2,Analista Senior,1/1/2015 0:00,1,6/7/2020 0:00,0.201232,Progression,Progressing,44-Staff/Assistant,2,0,11,1,0
27,BR1173738340@ey.com.br,BR1173738340,William Washington,1000,Active,Brasil,M,Brasilia - Ass,Advisory,Risk,42-Senior,7,Especialista,5/1/2016 0:00,1,1/20/2021 0:00,0.841247,Progression,Progressing,42-Senior,7,0,9,4,0
28,BR1134237120@ey.com.br,BR1134237120,Timothy Sieracki,1000,Active,Brasil,M,Fortaleza,Advisory,PI,44-Staff/Assistant,2,Analista Senior,12/1/2016 0:00,1,4/24/2021 0:00,0.609593,Progression,Progressing,44-Staff/Assistant,3,0,12,1,0
29,BR1017298960@ey.com.br,BR1017298960,Travis Lado,1000,Active,Brasil,M,Goiania,Advisory,PI,44-Staff/Assistant,1,Analista Senior,3/1/2020 0:00,0.333333,8/17/2020 0:00,0.136254,Progression,Progressing,44-Staff/Assistant,2,0,12,1,0
30,BR1197539150@ey.com.br,BR1197539150,Jennifer Fuss,1000,Active,Brasil,M,Salvador,Advisory,Risk,44-Staff/Assistant,1,Analista Senior,2/1/2015 0:00,1,1/18/2020 0:00,0.537215,Progression,nan,44-Staff/Assistant,1,0,8,1,0
